Time,Precipitation
01-Jan-2001,0
02-Jan-2001,0
03-Jan-2001,0
04-Jan-2001,0
05-Jan-2001,2.6
06-Jan-2001,0
07-Jan-2001,0.6
08-Jan-2001,0
09-Jan-2001,0
10-Jan-2001,0
11-Jan-2001,0
12-Jan-2001,0
13-Jan-2001,0
14-Jan-2001,0
15-Jan-2001,0
16-Jan-2001,0.4
17-Jan-2001,1
18-Jan-2001,29.8
19-Jan-2001,0
20-Jan-2001,0.6
21-Jan-2001,0
22-Jan-2001,0
23-Jan-2001,0
24-Jan-2001,0
25-Jan-2001,0.2
26-Jan-2001,0.2
27-Jan-2001,15.6
28-Jan-2001,2
29-Jan-2001,0
30-Jan-2001,16.4
31-Jan-2001,136.6
01-Feb-2001,19.6
02-Feb-2001,1.4
03-Feb-2001,1.4
04-Feb-2001,0.4
05-Feb-2001,10.4
06-Feb-2001,32.4
07-Feb-2001,0
08-Feb-2001,0.2
09-Feb-2001,0
10-Feb-2001,6.6
11-Feb-2001,0.4
12-Feb-2001,0
13-Feb-2001,0
14-Feb-2001,0
15-Feb-2001,0
16-Feb-2001,0
17-Feb-2001,0
18-Feb-2001,0.2
19-Feb-2001,0
20-Feb-2001,0
21-Feb-2001,6
22-Feb-2001,0
23-Feb-2001,0
24-Feb-2001,0
25-Feb-2001,0
26-Feb-2001,0
27-Feb-2001,0
28-Feb-2001,30.2
01-Mar-2001,2
02-Mar-2001,4.2
03-Mar-2001,5.2
04-Mar-2001,0
05-Mar-2001,0
06-Mar-2001,0
07-Mar-2001,0
08-Mar-2001,0
09-Mar-2001,0
10-Mar-2001,13.6
11-Mar-2001,0.2
12-Mar-2001,0.4
13-Mar-2001,0.2
14-Mar-2001,0
15-Mar-2001,0
16-Mar-2001,0.6
17-Mar-2001,1
18-Mar-2001,0
19-Mar-2001,0
20-Mar-2001,0
21-Mar-2001,0.2
22-Mar-2001,0.2
23-Mar-2001,0
24-Mar-2001,0
25-Mar-2001,0.8
26-Mar-2001,0.2
27-Mar-2001,0
28-Mar-2001,0
29-Mar-2001,0
30-Mar-2001,0
31-Mar-2001,0
01-Apr-2001,0
02-Apr-2001,2.4
03-Apr-2001,0
04-Apr-2001,0.2
05-Apr-2001,0
06-Apr-2001,0
07-Apr-2001,0.2
08-Apr-2001,0
09-Apr-2001,2.2
10-Apr-2001,0.2
11-Apr-2001,0.2
12-Apr-2001,0
13-Apr-2001,0
14-Apr-2001,0
15-Apr-2001,0
16-Apr-2001,0
17-Apr-2001,0.2
18-Apr-2001,0
19-Apr-2001,0.4
20-Apr-2001,4.6
21-Apr-2001,25.6
22-Apr-2001,0
23-Apr-2001,0
24-Apr-2001,0
25-Apr-2001,0
26-Apr-2001,0
27-Apr-2001,0
28-Apr-2001,0
29-Apr-2001,1.6
30-Apr-2001,0.8
01-May-2001,0
02-May-2001,0.2
03-May-2001,0
04-May-2001,0
05-May-2001,28.2
06-May-2001,4.6
07-May-2001,4
08-May-2001,0
09-May-2001,0
10-May-2001,0
11-May-2001,0
12-May-2001,0
13-May-2001,0
14-May-2001,0
15-May-2001,0
16-May-2001,0.2
17-May-2001,0
18-May-2001,0
19-May-2001,0.6
20-May-2001,0
21-May-2001,0
22-May-2001,0.4
23-May-2001,0.2
24-May-2001,0
25-May-2001,0
26-May-2001,0
27-May-2001,6.4
28-May-2001,7.2
29-May-2001,3
30-May-2001,0
31-May-2001,0
01-Jun-2001,0
02-Jun-2001,0
03-Jun-2001,0.2
04-Jun-2001,0
05-Jun-2001,0
06-Jun-2001,0.2
07-Jun-2001,0
08-Jun-2001,0
09-Jun-2001,0
10-Jun-2001,0
11-Jun-2001,0.2
12-Jun-2001,5.4
13-Jun-2001,0
14-Jun-2001,0
15-Jun-2001,0
16-Jun-2001,0
17-Jun-2001,1.6
18-Jun-2001,0
19-Jun-2001,0
20-Jun-2001,0.2
21-Jun-2001,1.2
22-Jun-2001,0
23-Jun-2001,0
24-Jun-2001,0
25-Jun-2001,0
26-Jun-2001,0.2
27-Jun-2001,0.2
28-Jun-2001,0
29-Jun-2001,0.2
30-Jun-2001,0.2
01-Jul-2001,0.2
02-Jul-2001,0
03-Jul-2001,0
04-Jul-2001,0
05-Jul-2001,0
06-Jul-2001,0
07-Jul-2001,0
08-Jul-2001,0
09-Jul-2001,0
10-Jul-2001,0
11-Jul-2001,0
12-Jul-2001,0
13-Jul-2001,0
14-Jul-2001,0
15-Jul-2001,0
16-Jul-2001,0
17-Jul-2001,0
18-Jul-2001,0
19-Jul-2001,0
20-Jul-2001,0
21-Jul-2001,0
22-Jul-2001,0
23-Jul-2001,0
24-Jul-2001,1.8
25-Jul-2001,4.8
26-Jul-2001,20.8
27-Jul-2001,2.4
28-Jul-2001,0.4
29-Jul-2001,0
